Epoch,Emissions,LP,Rebase,Team
0,0.00,0.00,0.00,0.00
1,2600000.00,1755000.00,780000.00,65000.00
2,2574000.00,1737450.00,772200.00,64350.00
3,2522520.00,1702701.00,756756.00,63063.00
4,2472069.60,1668646.98,741620.88,61801.74
5,2422628.21,1635274.04,726788.46,60565.71
6,2374175.64,1602568.56,712252.69,59354.39
7,2326692.13,1570517.19,698007.64,58167.30
8,2280158.29,1539106.84,684047.49,57003.96
9,2234555.12,1508324.71,670366.54,55863.88
10,2189864.02,1478158.21,656959.21,54746.60
11,2146066.74,1448595.05,643820.02,53651.67
12,2103145.40,1419623.15,630943.62,52578.64
13,2061082.50,1391230.69,618324.75,51527.06
14,2019860.85,1363406.07,605958.25,50496.52
15,1979463.63,1336137.95,593839.09,49486.59
16,1939874.36,1309415.19,581962.31,48496.86
17,1901076.87,1283226.89,570323.06,47526.92
18,1863055.33,1257562.35,558916.60,46576.38
19,1825794.23,1232411.10,547738.27,45644.86
20,1789278.34,1207762.88,536783.50,44731.96
21,1753492.77,1183607.62,526047.83,43837.32
22,1718422.92,1159935.47,515526.88,42960.57
23,1684054.46,1136736.76,505216.34,42101.36
24,1650373.37,1114002.03,495112.01,41259.33
25,1617365.90,1091721.99,485209.77,40434.15
26,1585018.59,1069887.55,475505.58,39625.46
27,1553318.21,1048489.79,465995.46,38832.96
28,1522251.85,1027520.00,456675.56,38056.30
29,1491806.81,1006969.60,447542.04,37295.17
30,1461970.68,986830.21,438591.20,36549.27
31,1432731.26,967093.60,429819.38,35818.28
32,1404076.64,947751.73,421222.99,35101.92
33,1375995.11,928796.70,412798.53,34399.88
34,1348475.20,910220.76,404542.56,33711.88
35,1321505.70,892016.35,396451.71,33037.64
36,1295075.59,874176.02,388522.68,32376.89
37,1269174.07,856692.50,380752.22,31729.35
38,1243790.59,839558.65,373137.18,31094.76
39,1218914.78,822767.48,365674.43,30472.87
40,1194536.48,806312.13,358360.95,29863.41
41,1170645.75,790185.88,351193.73,29266.14
42,1147232.84,774382.17,344169.85,28680.82
43,1124288.18,758894.52,337286.45,28107.20
44,1101802.42,743716.63,330540.73,27545.06
45,1079766.37,728842.30,323929.91,26994.16
46,1058171.04,714265.45,317451.31,26454.28
47,1037007.62,699980.15,311102.29,25925.19
48,1016267.47,685980.54,304880.24,25406.69
49,995942.12,672260.93,298782.64,24898.55
50,976023.28,658815.71,292806.98,24400.58
51,956502.81,645639.40,286950.84,23912.57
52,937372.76,632726.61,281211.83,23434.32
53,918625.30,620072.08,275587.59,22965.63
54,900252.80,607670.64,270075.84,22506.32
55,882247.74,595517.22,264674.32,22056.19
56,864602.78,583606.88,259380.84,21615.07
57,847310.73,571934.74,254193.22,21182.77
58,830364.51,560496.05,249109.35,20759.11
59,813757.22,549286.13,244127.17,20343.93
60,797482.08,538300.40,239244.62,19937.05
61,781532.44,527534.40,234459.73,19538.31
62,765901.79,516983.71,229770.54,19147.54
63,750583.75,506644.03,225175.13,18764.59
64,735572.08,496511.15,220671.62,18389.30
65,720860.64,486580.93,216258.19,18021.52
66,706443.42,476849.31,211933.03,17661.09
67,692314.56,467312.33,207694.37,17307.86
68,678468.26,457966.08,203540.48,16961.71
69,664898.90,448806.76,199469.67,16622.47
70,651600.92,439830.62,195480.28,16290.02
71,638568.90,431034.01,191570.67,15964.22
72,625797.52,422413.33,187739.26,15644.94
73,613281.57,413965.06,183984.47,15332.04
74,601015.94,405685.76,180304.78,15025.40
75,588995.62,397572.05,176698.69,14724.89
76,577215.71,389620.61,173164.71,14430.39
77,565671.40,381828.19,169701.42,14141.78
78,554357.97,374191.63,166307.39,13858.95
79,543270.81,366707.80,162981.24,13581.77
80,532405.39,359373.64,159721.62,13310.13
81,521757.29,352186.17,156527.19,13043.93
82,511322.14,345142.44,153396.64,12783.05
83,501095.70,338239.60,150328.71,12527.39
84,491073.78,331474.80,147322.14,12276.84
85,481252.31,324845.31,144375.69,12031.31
86,471627.26,318348.40,141488.18,11790.68
87,462194.72,311981.43,138658.41,11554.87
88,452950.82,305741.80,135885.25,11323.77
89,443891.81,299626.97,133167.54,11097.30
90,435013.97,293634.43,130504.19,10875.35
91,426313.69,287761.74,127894.11,10657.84
92,417787.42,282006.51,125336.22,10444.69
93,409431.67,276366.38,122829.50,10235.79
94,401243.03,270839.05,120372.91,10031.08
95,393218.17,265422.27,117965.45,9830.45
96,385353.81,260113.82,115606.14,9633.85
97,377646.73,254911.55,113294.02,9441.17
98,370093.80,249813.31,111028.14,9252.34
99,362691.92,244817.05,108807.58,9067.30
100,355438.09,239920.71,106631.43,8885.95
101,348329.32,235122.29,104498.80,8708.23
102,341362.74,230419.85,102408.82,8534.07
103,334535.48,225811.45,100360.64,8363.39
104,327844.77,221295.22,98353.43,8196.12
105,321287.88,216869.32,96386.36,8032.20
