symbol,poolAddress,gaugeAddress,externalBribe,internalBribe
vAMM-CHR/keyCHR,0xed68c3f7a49a5655eaf9cf1476ec0d88dd5a190c,0x0263deea30852c5f14bfac0ffd45804e9162ff52,0xa32f25294eaed560a8b88ed61bc08fa987394572,0x47d852a163f7f97df225b8fff7ec73122cb1f664
vAMM-CHR/WETH,0xe478af0a1e3ccb4afce648a9360c7ab730cd2e81,0x02e2be5350991385940d441bdc0d9ab428d7f133,0x3e57cedc17534466506f8e973ff64218b6014e53,0x9e8c30938633901be61f6f1cdd0cdcdaaba5d656
sAMM-plsRDNT/RDNT,0xd008013abec8ae9125827c36e860ab161ded0529,0x03fe54b78fb1c054a5b4d6fda5e55b82e223fcf2,0xb6aa56a8379a0392daeb036e240c7ab33be7a82f,0xf1603e71ed17b46569ec69103748defb4131a603
vAMM-GNS/USDC,0xc909537bce1dad263a28383d53d8fb356d848727,0x05b40a8b10988b69b439b4c446a2223e74895696,0xcee7ea4270bc80a5b1ed5864357da221ed5f8655,0x905f222f018580a9bdd45d53796070c0045359e5
vAMM-frxETH/sfrxETH,0xb1319b7113bd419da3e9fd1c622269272a91a6e3,0x05d54b825af9e686b6acf938c40697cab5853e2d,0x3a697bd55825bfaab03e0e94efa8a27b785cb621,0x34f80a32c02081b1ee3125c34e947818a01ef248
sAMM-RDNT/WETH,0x188b731ac63e56926101f080b05e5f9c10e94427,0x0632f8edd9439f96fa227c160ac5a618239ebb0f,0xddbe1d1a4dd5ad4b8a88d32b578a11138354fdf2,0x851c87ff10c6dc78cf6e61a451b45a45a7d15141
vAMM-ARKEN/USDC,0x34a41e6c44224beb64b7c6c7b48ad1475149ed16,0x0822681ee386031b5a2cb2b550a6db536291e8db,0x840cf327bc54ef9cd21651855f55d930824666b3,0x21c9506b06ae0049645804535c9724f1eb01e34c
sAMM-WETH/LQTY,0x01f134da1fabd659c8b106331bc08673dde2b056,0x0a90256240792a2a39546d9b7426bd6352df1ac9,0x1440233687cc498a0d7cb89847e7fd5253f23bb4,0xac493fd4e353401c4611e42c0a1f01a832135b9e
sAMM-frxETH/sfrxETH,0xd52862915de98201ba93a45e73081450075c4e33,0x0b82a5398cc19024a1b0f55fc61a60aa843e0ecb,0xceb3e416db172bb33f9d4eb852fad61ae3d19b8a,0xac16d6571429dcdb4b12447c652da02b0e3a81f3
vAMM-fBOMB/USDC,0x2773f3803dcac45780b9593305bc66249dc14946,0x0b83b338da9d13e62640d6fc740dd3b201409603,0x253a1d7b5435faee135056e83e34700418258e3c,0xef366a9afb2f86fcae5052769a52c4739b785d14
vAMM-WETH/cpCHR,0xf376befd1c882736decb305bcfc0416f3a6d7c90,0x0cc2f4f6a8445bf769f30bdbd381856f1c94d5e2,0x32e8127a120770186474729856076aa261fe1b7f,0x5d3012779af076b81dd165ddd6516762cde3245d
sAMM-MAI/LUSD,0x97cdc9e5df1afa297ac24ce8c0b7b6a9a2cf7448,0x0cc5d4528e4312027865bc50c60cf8743ea0f456,0xaf13e298f1ba1321cd4712d8d889ebc892d91197,0x0e8cf0cc5af3998501cf1ff00882c2fd9cb58e50
vAMM-plsRDNT/WETH,0x5ea9ab20d8e052889adf79054169fbc5bbe6ec79,0x0d345df915a2a91ebbe9a64de7c45b14e633bc5a,0x28baaafbbadaf551af22034b823ab577f3fd89f9,0x4e73e44830ca08cb87e98b9e444af9f7ca5fa51d
vAMM-wUSDR/USDC,0x278f76df86efdcbe0f2573ae54e917505621e312,0x0e5d2bf4b75ca6a0039df1e4d2eacf8483549cf4,0xe6221c45b9f2b70a4f205deaab1bc3356fcc3693,0xb3c2ac9acb2d5632d776d3ddcb74a2bbd83674f4
vAMM-KUJI/WETH,0x45c633700854177c803bce394ca69694b7465bcb,0x0e80c685f8b081610018d7fe3da9932bae5f4f94,0xdeb59c9fe809b613e8a05ae4e185e1ba8bbeedb3,0x9d0e4a5c60aa7a7423d53b8705e2920359a6b86b
vAMM-DAI/USDT,0x9ba197d55d088d9c9ffe7aef53fbe50ca5bd7645,0x10f7b684610acda762ec2b74067d0ecf0bfa6ed4,0x15d43ca2618f0e2a4b7d4f30251aa20cdae649d7,0x66aa54f80397d4e6f5637cf556dea733b4a4b439
sAMM-WETH/USDT,0xd8dc6387975ef96df4248ef95f44174b2402a960,0x11073d8a073024fa2696124fa96c0b52af30f4f7,0x992a1ca4b1cb4270b59d89756cf8d5421628c490,0x5aff984bf4d20678345c3e1163f44347513d3193
sAMM-wUSDR/USDC,0x4f2bf692c970f5ecb04a04e5bb938857d5f86d30,0x13b3f92405b8828439ae34bbcd168577ee197605,0x0869ca2ffc645b16770f52729c4d4d8946d5f05a,0x424ea10c318f2dd33c6518961773d79e98c44b41
vAMM-TIG/WETH,0xaed758b9da7d782a6810ba2a1c87b3411290e69d,0x13e38fcc1bbdacff3af9fa6134d0c2c045bfdee3,0x894408ad7ce918dae8e73f507e7374cf94ff040f,0x13d822ad5fe8814fed04df2cbf5bfe2530a8dfcc
vAMM-YFX/USDC,0xdbf5c47ea7bc6384ec8b8e60cadf885e736bcc09,0x16141f333d1f8de49f7c110419af29bbf0315c3d,0xbb444e51fedb20ebeaa237e36dd85292fb1d0ada,0x5141bcb512119c1112ac28368c1e777498efa30f
vAMM-fBOMB/WETH,0xd36b843e8efced2cbcab007b5efdcb01891df331,0x1689e40fd2bbd7c6604be431fae18ca7e3eb244d,0xc4479f19802f9e972f1cdd0019830bddb8f26d10,0x1610bac6bca0df0e442f88b5f6c1239c67cc55de
sAMM-USDT/USDC,0xc9445a9afe8e48c71459aedf956ed950e983ec5a,0x1796e7169bcba32c089482c4811dd9dc36faa329,0x2240cdf1b65d2ccc71db883999d735cd547ba38a,0x18ae5c3bc4154945fe8c4b6ea1494eee7188db7e
vAMM-WETH/GRT,0x4676a3996c1f7e073abdff0f39e8c54de1f78b1f,0x184b0dda31b9ca2904413dd2d19947abeca811a0,0x615732b73bd533e8081c91975a9ec1d38fc6b855,0x1d4b99711e071fcabae84aaebdb6eec43a144f1a
vAMM-OATH/ERN,0x06cd9cbd9c55b27e56666a4d9629728034a94e9c,0x1952ddcc31134a54c8779ebc48173cd486e2a3aa,0x3ef71a97b810ff30ed9233d2158f917890e56296,0xb0016769ac043ce0ae3d0cbbb13463a528b1d165
vAMM-Y2K/ARB,0xa3cb02cf2306341b6f4734a1b62f4e7d1ea425e0,0x19fd49283f563fba384658037571bd6c2c96dca9,0xcf06a177cfb434547c628ba5bc2690a9d5243f7a,0xad9330cac184f713e0669eb4b0633d5a5bd42886
vAMM-FCTR/WETH,0x149a0c7b1b0a9f844466bd9283f9c78d788b453d,0x1b5f0294aa26ec91db2f38a90ba827a6404cb34a,0x47c138faae124029473db8483995e249a71a1f93,0x6a68498db8e2e157058b3c74a6d390d36faa2240
vAMM-GB/USDC,0xd410f277a9cb08a04ae07ef70df00925b6bbeb22,0x1c615ad7642a8c798319376f7fe4739c1fe509c8,0x6b97fd9f78042894cc2e376a3c48633079c4a5d7,0x4e61ef4be983c08f6672b224872b013faa786bf8
vAMM-IBEX/WETH,0xd306c21da241fb0ee03c658ceaa75daa8fe78658,0x1d6ed6ba2e36a466974f23dc6c7803306e76e325,0xad3c10e1623975d9d27b2b250dff2365a9a6f6fc,0x1d393a30b1ef62ef0996ae75d361e238e0ca972a
vAMM-HASH/WETH,0x1b13981f513681bf8079b46cf4c0febb31692dd2,0x22255f22c0d91aabb4f5031d48492092f0f96bf5,0x5115e921fd11a41b8c8271ff43f4708991da71ff,0xfa49311dfd5a2b767de42ff2514154241c40591a
vAMM-CHR/fBOMB,0x395533d4de1981d57261a2145f526c94c211fd10,0x2396fd579c0bdecb48c4315cdcdee5f3cc24a5f7,0x7b1f3e7a4843d80d3d01f37ead45cf269d8b5341,0xc301bf0b9050f629ac75a8b0571354b589a6e859
sAMM-WBTC/WETH,0x562fd67e0e4ffbc5a4df9a91f9d74949f392b437,0x25b870010cc60dba9c2f0223aaaa7e333eb3de73,0x8d46ca890c8f56856fcfc0f53d0391a36643f316,0x8806cd5f5e87c0c1a5dd3a7197a43c2e29660813
sAMM-CHR/ARB,0x07bcb73177c800bd53a38818cecd3fd4da8262f5,0x266dd44d981e5bca81d7a0fdadb051b2f411509b,0x8c0bcb14ffe12ec8876add9d8fa8a18f64492c5d,0x854205c21081d400ae6d1d81a5577552fd083c02
arbiDysonChrV3WETHUSDT5bpsVault,0xcd7e3bdbe5f4053f0c9e51013887aba8ccec239c,0x28bd7fd472662a37c759fc7bd58e0ac2cc96397d,0xcf12dcd08a245ac6113f08e245d7e03fca0bb0e1,0x1582c47cf5a3b36d47411afd61acf9b741411554
vAMM-Y2K/WETH,0xdb58ba3b74cbba91e80f8329ff9a5b19036ec3df,0x2aa2a47797a5ff4c0fafc972545e9e6a9928e0a9,0x8363cd02402a6606e277e9fc68728e6004060e86,0x1475f2b827779de31f6697ffc5d31aa96f616a24
vAMM-WETH/LIBERA,0xf3c86e817af82a0ce26b1998a89a906833f7ea4d,0x2c83a75032757ea9adf2baf7c507197dc8527634,0x1d7e999b19c0c857503741ea549ce2bbabe62f56,0x84c4114fd812d471b180f25ee34d70ea5a77f2a2
sAMM-DOLA/USD+,0xbbd7ff1728963a5eb582d26ea90290f84e89bd66,0x2c9007af5b09383419c328cb5b80abbe3046ab78,0x2e952791caf8e79f2edb694cebecc9183af46458,0x9c61b9765d922d9b1a35802561c01aa6a7861a78
vAMM-Lqdr/WETH,0x49fd7cefe4c34007bb6592897ddedad6e17aba54,0x2d06d14449778fbb6f003cf125ead355051178d8,0xde12bd48eccbc31724f9252289da0595428255c5,0x854c5bc61d2057b1dff5872521355238e4b5ad80
vAMM-xSHRAP/WETH,0x100453b34bef6dc553609b409f5e311c1b378b3a,0x2d51f66e11de19d5ee9a5f7c8807d967b703fac4,0x3177bd42d86c97e02f4cd50865b6a1960f65280b,0xbf626b180b625b09d54f59edd48db4f8b039667a
sAMM-FRAX/USD+,0x0d20ef7033b73ea0c9c320304b05da82e2c14e33,0x2e70952ee902c98e6e8332dbcae4b24726df517b,0x4637ae47ca2e56c713efc3896f9b552144ca3c55,0x7b1d9882165d171a863494aaf1e23770db80de1f
vAMM-IDIA/USDC,0x0236fe5972565fa8c4a9f3911dc943fdf4045714,0x2fdfad36d295cc69ac64e84bf10fce415870a931,0xcff9c12898d2ffa2b8b711844dc846dd3759954f,0xdb5296a64cd5eb7f06b3987e18923af83fd48a09
vAMM-IBEX/ARB,0xa636e51c966331411bb8d5f83d06010c3197f12d,0x31ef10d38ec3a73ee28b97bb7690b29137c2e82f,0xe60c0460f713339b0487a195c0a87f920f66cfb1,0xc2f73bc8e1900a4e317898cbde415ac23e3ade03
vAMM-pAMZN/USDC,0xcb03b1e29da949ae277f09abb74d8a9d6f69a1f7,0x342c6d8e08a1612b7b308315cd95afe4d8437cf7,0x1e63804227df068d721317d1c5c2a701c1474422,0x24158af03bcafc15ca642ebab214f40ceaf23da1
vAMM-WAR/WETH,0x257dbe5e13e53b16947bf7ef8b108df616bc2054,0x3822d17d7b19ac3c6a479f427e4e76c2d1575cdd,0xa008eb7738fbc50c26f30059884bfb5ec5d23524,0xab90a9c4d9c6be5583c5189c60e25f5f07952ecf
vAMM-CELLS/WETH,0x661dd8366e8b3fba27acc5e41db33b5868694024,0x38e67860dc6529b4531a5a35fa07ee319ea72f1e,0x97016d0e524c2b34fdf228f4ece2e190fb4f8e47,0xee568f21d193020f809556a9961890f938e434d3
arbiDysonChrV3WETHUSDCe5bpsVault,0x9a56f822babfbfdc2f25cb34eb952ff38af869d8,0x39b2299bac951b3bbdd5bfefe5ffa5aa888a704f,0xe30d4f9ce58d935c3ac8819c96055b8c0957b467,0x7956bbc2134fb9c53eb6ea6a7277ef52b6e0f85f
vAMM-LDO/GRT,0x9322cc6471527158e089e8f50a799ea9a7072f7e,0x39bb56ef8ecb253eec098d2fe5e80ccdee09e211,0x2349777b32ca8bb2ba475bcdae4f567f37559d53,0x08b8089ac2c6f3cb78eb7a776243f9a302e4658f
sAMM-jEUR/agEUR,0x11357d693d8dfdfa570c3b899fba073152f9dcac,0x3b8f1220f2553e306fe59c8facbaa8a52275b8c4,0x4d9f54f3bd7cd916b895ea55a260447fae10c416,0xc4a2d89d4ab8e052382f850f5de5634c42a8fdac
vAMM-WETH/BIFI,0x04c106edddbe89f2ed983f52020f33d126fa544b,0x3bc96da496a92c03df3001a2e489bf0bc88dc401,0x313086e79c63fab354337e2ed5dfad092404ee5d,0x9a9b46f11a5ad1190795478cac8f4c023e6ba756
sAMM-USDC/USDC,0x0e9864c5ea91b79545ab8ceed3589cbb4d5bcf0a,0x3c84b137219be2e76ecfc434d57c29e9a177fa8d,0x15520035449333f57ac894099c6414fb7e0f1c8c,0xdd752822fa6496b47c7420f5b0827dc65e2776d0
